Original_Name	Blinded_Name
HeLa_condition_1_Transferrin_647_025.tif	blind_0139
HeLa_condition_1_Transferrin_647_026.tif	blind_0060
HeLa_condition_1_Transferrin_647_027.tif	blind_0003
HeLa_condition_1_Transferrin_647_028.tif	blind_0013
HeLa_condition_1_Transferrin_647_029.tif	blind_0020
HeLa_condition_1_Transferrin_647_030.tif	blind_0115
HeLa_condition_1_Transferrin_647_031.tif	blind_0093
HeLa_condition_1_Transferrin_647_032.tif	blind_0085
HeLa_condition_1_Transferrin_647_033.tif	blind_0124
HeLa_condition_1_Transferrin_647_034.tif	blind_0133
HeLa_condition_1_Transferrin_647_035.tif	blind_0016
HeLa_condition_1_Transferrin_647_036.tif	blind_0034
HeLa_condition_1_Transferrin_647_037.tif	blind_0141
HeLa_condition_1_Transferrin_647_038.tif	blind_0109
HeLa_condition_1_Transferrin_647_039.tif	blind_0125
HeLa_condition_1_Transferrin_647_040.tif	blind_0019
HeLa_condition_1_Transferrin_647_041.tif	blind_0012
HeLa_condition_1_Transferrin_647_042.tif	blind_0050
HeLa_condition_1_Transferrin_647_043.tif	blind_0009
HeLa_condition_1_Transferrin_647_044.tif	blind_0123
HeLa_condition_1_Transferrin_647_045.tif	blind_0087
HeLa_condition_1_Transferrin_647_046.tif	blind_0072
HeLa_condition_2_Transferrin_647_005.tif	blind_0129
HeLa_condition_2_Transferrin_647_006.tif	blind_0119
HeLa_condition_2_Transferrin_647_007.tif	blind_0102
HeLa_condition_2_Transferrin_647_008.tif	blind_0062
HeLa_condition_2_Transferrin_647_009.tif	blind_0007
HeLa_condition_2_Transferrin_647_010.tif	blind_0122
HeLa_condition_2_Transferrin_647_011.tif	blind_0006
HeLa_condition_2_Transferrin_647_012.tif	blind_0040
HeLa_condition_2_Transferrin_647_013.tif	blind_0073
HeLa_condition_2_Transferrin_647_014.tif	blind_0023
HeLa_condition_2_Transferrin_647_015.tif	blind_0070
HeLa_condition_2_Transferrin_647_016.tif	blind_0088
HeLa_condition_2_Transferrin_647_017.tif	blind_0140
HeLa_condition_2_Transferrin_647_018.tif	blind_0030
HeLa_condition_2_Transferrin_647_019.tif	blind_0137
HeLa_condition_2_Transferrin_647_020.tif	blind_0071
HeLa_condition_2_Transferrin_647_021.tif	blind_0055
HeLa_condition_2_Transferrin_647_022.tif	blind_0033
HeLa_condition_3_Transferrin_647_047.tif	blind_0094
HeLa_condition_3_Transferrin_647_048.tif	blind_0110
HeLa_condition_3_Transferrin_647_049.tif	blind_0118
HeLa_condition_3_Transferrin_647_050.tif	blind_0106
HeLa_condition_3_Transferrin_647_051.tif	blind_0036
HeLa_condition_3_Transferrin_647_052.tif	blind_0052
HeLa_condition_3_Transferrin_647_053.tif	blind_0063
HeLa_condition_3_Transferrin_647_054.tif	blind_0117
HeLa_condition_3_Transferrin_647_055.tif	blind_0058
HeLa_condition_3_Transferrin_647_056.tif	blind_0114
HeLa_condition_3_Transferrin_647_057.tif	blind_0005
HeLa_condition_3_Transferrin_647_058.tif	blind_0004
HeLa_condition_3_Transferrin_647_059.tif	blind_0116
HeLa_condition_3_Transferrin_647_060.tif	blind_0079
HeLa_condition_3_Transferrin_647_061.tif	blind_0091
HeLa_condition_3_Transferrin_647_062.tif	blind_0042
HeLa_condition_3_Transferrin_647_063.tif	blind_0082
HeLa_condition_3_Transferrin_647_064.tif	blind_0076
HeLa_condition_3_Transferrin_647_065.tif	blind_0024
HeLa_condition_3_Transferrin_647_066.tif	blind_0025
HeLa_condition_3_Transferrin_647_067.tif	blind_0127
HeLa_condition_3_Transferrin_647_068.tif	blind_0031
HeLa_condition_3_Transferrin_647_069.tif	blind_0053
HeLa_condition_3_Transferrin_647_070.tif	blind_0044
HeLa_condition_4_Transferrin_647_071.tif	blind_0026
HeLa_condition_4_Transferrin_647_072.tif	blind_0134
HeLa_condition_4_Transferrin_647_073.tif	blind_0078
HeLa_condition_4_Transferrin_647_074.tif	blind_0074
HeLa_condition_4_Transferrin_647_075.tif	blind_0121
HeLa_condition_4_Transferrin_647_076.tif	blind_0144
HeLa_condition_4_Transferrin_647_077.tif	blind_0037
HeLa_condition_4_Transferrin_647_078.tif	blind_0028
HeLa_condition_4_Transferrin_647_079.tif	blind_0027
HeLa_condition_4_Transferrin_647_080.tif	blind_0126
HeLa_condition_4_Transferrin_647_081.tif	blind_0064
HeLa_condition_4_Transferrin_647_082.tif	blind_0077
HeLa_condition_4_Transferrin_647_083.tif	blind_0051
HeLa_condition_4_Transferrin_647_084.tif	blind_0065
HeLa_condition_4_Transferrin_647_085.tif	blind_0080
HeLa_condition_4_Transferrin_647_086.tif	blind_0083
HeLa_condition_4_Transferrin_647_087.tif	blind_0113
HeLa_condition_4_Transferrin_647_088.tif	blind_0103
HeLa_condition_4_Transferrin_647_089.tif	blind_0107
HeLa_condition_4_Transferrin_647_090.tif	blind_0048
HeLa_condition_5_Transferrin_647_091.tif	blind_0041
HeLa_condition_5_Transferrin_647_092.tif	blind_0039
HeLa_condition_5_Transferrin_647_093.tif	blind_0095
HeLa_condition_5_Transferrin_647_094.tif	blind_0049
HeLa_condition_5_Transferrin_647_095.tif	blind_0092
HeLa_condition_5_Transferrin_647_096.tif	blind_0043
HeLa_condition_5_Transferrin_647_097.tif	blind_0018
HeLa_condition_5_Transferrin_647_098.tif	blind_0142
HeLa_condition_5_Transferrin_647_099.tif	blind_0022
HeLa_condition_5_Transferrin_647_100.tif	blind_0045
HeLa_condition_5_Transferrin_647_101.tif	blind_0097
HeLa_condition_5_Transferrin_647_102.tif	blind_0068
HeLa_condition_5_Transferrin_647_103.tif	blind_0120
HeLa_condition_5_Transferrin_647_104.tif	blind_0038
HeLa_condition_5_Transferrin_647_105.tif	blind_0112
HeLa_condition_5_Transferrin_647_106.tif	blind_0096
HeLa_condition_5_Transferrin_647_107.tif	blind_0011
HeLa_condition_5_Transferrin_647_108.tif	blind_0066
HeLa_condition_5_Transferrin_647_109.tif	blind_0061
HeLa_condition_5_Transferrin_647_110.tif	blind_0108
HeLa_condition_6_Transferrin_647_111.tif	blind_0035
HeLa_condition_6_Transferrin_647_112.tif	blind_0135
HeLa_condition_6_Transferrin_647_113.tif	blind_0084
HeLa_condition_6_Transferrin_647_114.tif	blind_0143
HeLa_condition_6_Transferrin_647_115.tif	blind_0111
HeLa_condition_6_Transferrin_647_116.tif	blind_0081
HeLa_condition_6_Transferrin_647_117.tif	blind_0002
HeLa_condition_6_Transferrin_647_118.tif	blind_0105
HeLa_condition_6_Transferrin_647_119.tif	blind_0132
HeLa_condition_6_Transferrin_647_120.tif	blind_0090
HeLa_condition_6_Transferrin_647_121.tif	blind_0104
HeLa_condition_6_Transferrin_647_122.tif	blind_0059
HeLa_condition_6_Transferrin_647_123.tif	blind_0089
HeLa_condition_6_Transferrin_647_124.tif	blind_0138
HeLa_condition_6_Transferrin_647_125.tif	blind_0128
HeLa_condition_6_Transferrin_647_126.tif	blind_0131
HeLa_condition_6_Transferrin_647_127.tif	blind_0057
HeLa_condition_6_Transferrin_647_128.tif	blind_0130
HeLa_condition_6_Transferrin_647_129.tif	blind_0100
HeLa_condition_6_Transferrin_647_130.tif	blind_0098
HeLa_condition_7_Transferrin_647_131.tif	blind_0010
HeLa_condition_7_Transferrin_647_132.tif	blind_0015
HeLa_condition_7_Transferrin_647_133.tif	blind_0069
HeLa_condition_7_Transferrin_647_134.tif	blind_0047
HeLa_condition_7_Transferrin_647_135.tif	blind_0067
HeLa_condition_7_Transferrin_647_136.tif	blind_0101
HeLa_condition_7_Transferrin_647_137.tif	blind_0032
HeLa_condition_7_Transferrin_647_138.tif	blind_0099
HeLa_condition_7_Transferrin_647_139.tif	blind_0046
HeLa_condition_7_Transferrin_647_140.tif	blind_0136
HeLa_condition_7_Transferrin_647_141.tif	blind_0001
HeLa_condition_7_Transferrin_647_142.tif	blind_0008
HeLa_condition_7_Transferrin_647_143.tif	blind_0014
HeLa_condition_7_Transferrin_647_144.tif	blind_0021
HeLa_condition_7_Transferrin_647_145.tif	blind_0054
HeLa_condition_7_Transferrin_647_146.tif	blind_0075
HeLa_condition_7_Transferrin_647_147.tif	blind_0017
HeLa_condition_7_Transferrin_647_148.tif	blind_0086
HeLa_condition_7_Transferrin_647_149.tif	blind_0056
HeLa_condition_7_Transferrin_647_150.tif	blind_0029
